State,AgencyType,AgencyName,AssaultOffenses,HomicideOffenses,KidnappingAbduction,SexOffenses,SexOffensesNonforcible,Arson,Bribery,BurglaryBreaking&Entering,CounterfeitingForgery,DestructionDamageVandalism,Embezzlement,ExtortionBlackmail,FraudOffenses,LarcenyTheftOffenses,Robbery,StolenPropertyOffenses,DrugNarcoticOffenses,GamblingOffenses,PornographyObsceneMaterial,ProstitutionOffenses,WeaponLawViolations,TotalOffences
COLORADO,Cities,Kersey,4.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
COLORADO,Cities,Kiowa,269.0,0.0,6.0,39.0,4.0,5.0,0.0,71.0,25.0,244.0,1.0,0.0,137.0,321.0,11.0,8.0,299.0,0.0,3.0,2.0,15.0,1460.0
COLORADO,Cities,Lafayette,49.0,0.0,1.0,9.0,3.0,2.0,0.0,49.0,16.0,66.0,0.0,0.0,18.0,136.0,2.0,1.0,21.0,0.0,0.0,0.0,4.0,377.0
COLORADO,Cities,La Junta,3.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,6.0,0.0,0.0,2.0,14.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,53.0
COLORADO,Cities,Lakeside,2111.0,2.0,69.0,231.0,14.0,15.0,1.0,918.0,288.0,1732.0,0.0,6.0,729.0,5245.0,148.0,146.0,1102.0,0.0,15.0,86.0,140.0,12998.0
COLORADO,Cities,Lakewood,56.0,0.0,1.0,3.0,2.0,0.0,0.0,54.0,4.0,195.0,0.0,0.0,14.0,228.0,2.0,0.0,135.0,0.0,0.0,0.0,2.0,696.0
COLORADO,Cities,Lamar,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,7.0,0.0,0.0,1.0,31.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,72.0
COLORADO,Cities,La Salle,32.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,2.0,30.0,0.0,0.0,4.0,32.0,1.0,1.0,29.0,0.0,0.0,0.0,3.0,141.0
COLORADO,Cities,Leadville,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0
COLORADO,Cities,Limon,286.0,5.0,7.0,44.0,5.0,3.0,0.0,261.0,53.0,411.0,0.0,0.0,180.0,918.0,17.0,9.0,303.0,0.0,1.0,0.0,28.0,2531.0
COLORADO,Cities,Littleton,39.0,0.0,0.0,0.0,2.0,0.0,0.0,33.0,11.0,86.0,1.0,0.0,69.0,559.0,0.0,1.0,252.0,0.0,0.0,0.0,9.0,1062.0
